taxa1	254	333	292	298	399	361	373	391	495	519	459	495	507	536	566	631	675	700	714	677	698	718	735	757	793	804	899	859	868	974	977	1006	955	1053	1003	1031	1113	1081	1149	1192	1209	1227	1185	1279	1305	1318	1345	1370	1318	1359	1437	1393	1491	1498	1457	1478	1569	1583	1616	1567	1596	1690	1708	1722	1743	1783	1794	1755	1830	1848	1888	1913	1850	1882	1911	1983	2008	1969	1987	2080	2102	2137	2093	2104	2124	2214	2165	2269	2229	2299	2265	2298	2378	2394	2348	2379	2399	2493	2513	2469
taxa2	1283	1283	1284	1215	1219	1223	1208	1284	1219	1224	1213	1217	1223	1283	1278	1274	1283	1217	1293	1281	1287	1284	1213	1223	1288	1216	1216	1282	1286	1209	1212	1218	1283	1226	1296	1215	1276	1278	1277	1210	1295	1214	1228	1282	1231	1284	1283	1287	1221	1223	1288	1219	1216	1223	1219	1296	1280	1282	1274	1286	1216	1218	1216	1288	1215	1220	1275	1217	1232	1287	1212	1218	1284	1207	1225	1285	1288	1277	1291	1221	1285	1214	1205	1217	1214	1217	1280	1221	1284	1222	1218	1264	1220	1280	1289	1284	1219	1289	1213	1221
taxa3	2539	2517	2427	2457	2433	2422	2334	2304	2350	2279	2252	2221	2206	2233	2151	2135	2104	2155	2133	2039	2077	2058	2031	2013	1992	1905	1949	1874	1840	1872	1794	1768	1748	1732	1703	1747	1727	1714	1681	1658	1636	1607	1527	1566	1474	1518	1436	1473	1384	1428	1341	1392	1296	1279	1254	1227	1271	1195	1155	1203	1181	1095	1076	1049	1031	1076	985	963	1003	985	959	940	841	898	808	776	822	797	775	759	735	717	632	673	642	625	607	582	561	527	453	427	463	444	360	396	385	297	328	307
taxa4	1209	1217	1222	1225	1206	1214	1277	1291	1279	1290	1229	1210	1213	1220	1217	1217	1218	1208	1211	1285	1221	1281	1280	1218	1217	1279	1288	1284	1273	1213	1214	1281	1286	1292	1211	1290	1281	1223	1282	1205	1283	1281	1285	1286	1283	1221	1205	1278	1286	1214	1210	1277	1219	1280	1227	1277	1206	1296	1230	1218	1218	1287	1209	1274	1286	1216	1284	1279	1210	1219	1217	1209	1281	1284	1217	1286	1285	1221	1220	1218	1281	1282	1221	1223	1220	1286	1281	1220	1203	1274	1216	1215	1279	1282	1219	1220	1211	1204	1210	1278
taxa5	28	18	35	86	29	92	90	20	27	33	33	32	98	18	88	88	96	25	28	29	85	87	106	27	29	27	22	102	26	22	28	25	21	115	28	90	98	90	96	101	88	94	88	33	86	25	91	19	28	92	90	36	23	89	93	86	33	22	33	40	91	90	32	104	22	95	32	94	82	37	99	20	101	87	23	31	37	27	29	21	91	35	27	17	32	101	95	33	29	92	21	86	24	100	95	22	29	23	93	90
taxa6	29	22	24	36	32	10	35	24	98	33	28	34	27	22	29	95	35	89	87	96	5	94	25	19	92	94	22	101	21	99	96	105	106	20	29	34	28	90	31	32	99	98	94	16	29	102	103	27	19	92	99	78	102	18	88	94	95	27	91	34	24	102	30	103	21	95	28	23	92	92	26	12	96	85	99	32	94	25	91	32	95	100	35	97	24	27	89	29	86	92	27	24	94	95	32	89	28	30	88	104
taxa7	35	20	93	25	39	88	27	94	92	93	30	17	39	31	87	103	92	92	18	100	21	91	24	25	25	23	29	99	96	23	87	27	91	34	92	87	96	98	25	104	28	88	26	84	93	98	89	19	99	91	30	27	102	27	103	93	93	98	26	85	36	96	87	98	22	38	99	34	32	92	101	37	22	101	99	97	90	94	33	33	99	26	98	96	26	24	81	21	26	103	39	89	28	28	96	37	31	99	92	92
taxa8	95	87	83	84	36	26	23	26	94	24	22	32	31	107	96	94	31	106	97	104	20	96	100	98	98	23	103	24	24	98	31	29	34	90	23	108	93	21	25	99	95	26	82	35	28	35	91	16	29	90	39	101	89	85	80	32	91	18	30	37	18	92	104	89	19	26	87	30	17	83	95	92	21	104	23	25	23	35	93	21	95	33	28	22	102	23	27	24	97	94	89	27	32	27	28	40	93	24	91	90
taxa9	20	30	98	91	14	25	104	97	38	26	20	22	33	32	33	34	99	95	86	94	37	93	88	95	92	26	84	102	30	106	93	87	89	27	91	103	30	88	101	31	90	93	93	23	28	102	28	27	94	31	88	23	22	104	96	27	103	93	88	91	86	25	92	14	30	31	11	34	90	23	100	25	97	33	99	93	100	28	35	86	90	91	28	101	24	91	93	23	22	29	31	31	31	101	83	31	93	94	101	31
taxa10	90	100	38	98	91	88	94	87	97	29	34	97	93	99	43	105	24	94	81	28	17	89	95	16	100	26	31	29	99	28	27	103	29	27	82	96	87	100	28	99	14	90	13	99	22	90	36	26	87	29	90	96	28	90	90	29	84	31	24	102	102	92	92	23	32	19	84	91	94	89	97	93	90	30	34	102	98	81	22	93	33	103	25	99	25	30	28	30	89	35	33	28	30	28	24	28	93	33	34	25
taxa11	100	99	16	24	18	33	107	98	23	113	30	90	101	105	83	97	94	29	93	18	90	105	30	18	96	25	106	32	30	93	35	86	19	30	92	27	35	90	24	101	91	100	93	91	29	23	96	102	29	44	94	26	27	84	91	27	98	26	22	88	92	100	90	94	35	34	16	102	27	90	26	24	90	32	21	86	84	97	85	90	99	87	108	97	101	28	31	27	29	30	20	85	92	93	38	39	100	35	87	84
taxa12	88	30	101	93	22	24	92	88	91	24	20	30	14	27	85	94	37	94	103	94	91	32	26	34	25	91	92	22	34	96	24	84	28	30	101	100	29	34	93	13	101	30	22	23	99	21	91	29	90	92	89	36	30	91	37	32	106	102	92	100	30	91	94	94	83	24	31	94	33	93	98	31	88	30	32	91	94	97	86	91	29	33	90	91	31	17	105	36	38	28	102	97	93	32	93	17	88	40	89	40
taxa13	36	98	26	98	27	96	29	34	94	100	89	94	16	33	88	28	93	99	95	25	26	85	27	93	30	33	20	25	95	25	95	87	92	99	35	29	94	101	92	27	105	24	84	26	29	32	30	94	90	89	16	19	32	91	21	26	90	19	99	101	18	92	20	91	91	96	34	28	20	98	97	37	28	95	15	31	34	26	94	97	91	95	94	94	23	18	93	28	25	28	31	36	99	97	87	36	94	35	18	34
taxa14	102	92	28	20	97	95	104	97	98	28	93	32	89	94	18	21	92	25	87	25	84	98	30	110	87	87	105	86	96	30	26	24	103	98	98	92	23	100	30	100	105	21	98	88	88	27	49	23	99	28	24	28	33	93	99	37	91	37	20	35	27	37	38	102	91	89	23	19	100	97	83	30	89	98	97	97	98	82	86	31	90	91	90	31	34	27	102	39	32	92	23	38	33	93	28	90	29	101	96	92
taxa15	21	90	89	32	33	24	93	89	35	25	28	100	91	98	25	97	93	28	29	27	23	26	96	35	95	92	30	29	28	26	95	88	27	90	105	94	30	104	28	96	93	40	90	103	20	20	29	96	31	41	100	30	31	21	107	89	93	94	94	22	26	22	90	42	31	84	25	103	26	19	28	24	97	99	30	103	97	99	18	27	95	100	94	96	31	97	87	24	32	23	29	90	90	95	93	27	26	91	27	22
